loja_id,user_id,like
2,0,0.0
3,0,0.5
4,0,0.0
6,0,0.5
7,0,0.0
8,0,0.0
10,0,0.0
11,0,0.0
15,0,0.0
17,0,0.5
19,0,0.5
20,0,0.0
22,0,0.0
23,0,0.0
25,0,0.0
26,0,0.0
32,0,0.0
34,0,0.0
38,0,0.5
40,0,0.5
43,0,0.0
46,0,0.5
47,0,0.0
48,0,0.0
49,0,0.0
50,0,0.0
51,0,0.0
53,0,0.5
55,0,0.0
56,0,0.0
59,0,0.0
63,0,0.0
66,0,0.0
67,0,0.5
69,0,0.0
70,0,0.0
71,0,0.0
72,0,0.0
73,0,0.5
74,0,0.0
79,0,0.5
81,0,0.0
82,0,0.0
84,0,0.0
85,0,0.0
87,0,0.0
88,0,0.0
89,0,0.5
90,0,0.0
91,0,0.0
92,0,0.0
96,0,0.0
97,0,0.0
100,0,0.0
101,0,0.5
103,0,0.5
105,0,0.0
106,0,0.0
107,0,0.5
110,0,0.0
111,0,0.0
112,0,0.0
114,0,0.0
115,0,0.5
118,0,0.5
119,0,0.0
120,0,0.5
122,0,0.0
123,0,0.5
124,0,0.0
127,0,0.0
128,0,0.5
133,0,0.0
135,0,0.5
136,0,0.5
138,0,0.0
139,0,0.0
143,0,0.0
144,0,0.0
146,0,0.0
147,0,0.5
148,0,0.0
150,0,0.0
151,0,0.0
152,0,0.5
153,0,0.5
154,0,0.0
155,0,0.5
161,0,0.0
162,0,0.0
164,0,0.5
165,0,0.0
168,0,0.0
170,0,0.5
171,0,0.0
175,0,0.5
176,0,0.0
177,0,0.0
178,0,0.0
179,0,0.0
181,0,0.0
182,0,0.5
185,0,0.0
186,0,0.5
187,0,0.0
190,0,0.0
191,0,0.5
192,0,0.5
193,0,0.5
194,0,0.0
195,0,0.0
197,0,0.5
198,0,0.0
201,0,0.0
202,0,0.5
203,0,0.5
205,0,0.5
206,0,0.5
207,0,0.0
209,0,0.0
210,0,0.5
212,0,0.0
214,0,0.5
215,0,0.5
217,0,0.0
218,0,0.0
221,0,0.0
224,0,0.0
225,0,0.5
227,0,0.0
229,0,0.5
230,0,0.0
234,0,0.0
235,0,0.0
238,0,0.0
239,0,0.0
240,0,0.5
243,0,0.0
245,0,0.0
248,0,0.0
251,0,0.0
252,0,0.5
256,0,0.0
257,0,0.0
258,0,0.5
259,0,0.5
260,0,0.0
262,0,0.5
263,0,0.0
264,0,0.0
265,0,0.0
266,0,0.0
267,0,0.0
268,0,0.0
271,0,0.0
272,0,0.5
274,0,0.5
277,0,0.5
278,0,0.0
279,0,0.0
281,0,0.0
282,0,0.0
283,0,0.0
284,0,0.0
285,0,0.5
286,0,0.5
287,0,0.0
290,0,0.5
291,0,0.0
292,0,0.0
293,0,0.0
295,0,0.5
297,0,0.5
298,0,0.5
299,0,0.0
301,0,0.5
304,0,0.0
305,0,0.0
307,0,0.0
308,0,0.0
312,0,0.0
314,0,0.0
317,0,0.0
318,0,0.0
319,0,0.5
320,0,0.0
321,0,0.0
322,0,0.5
323,0,0.0
324,0,0.0
325,0,0.5
326,0,0.0
328,0,0.5
329,0,0.0
330,0,0.5
331,0,0.5
336,0,0.0
340,0,0.5
343,0,0.0
345,0,0.5
346,0,0.0
348,0,0.5
350,0,0.0
351,0,0.5
353,0,0.5
354,0,0.5
355,0,0.5
356,0,0.0
357,0,0.0
361,0,0.0
362,0,0.0
363,0,0.0
364,0,0.0
368,0,0.5
369,0,0.5
370,0,0.5
376,0,0.0
380,0,0.0
381,0,0.0
385,0,0.5
388,0,0.5
389,0,0.0
390,0,0.5
391,0,0.0
393,0,0.0
395,0,0.0
399,0,0.0
401,0,0.0
402,0,0.0
403,0,0.5
404,0,0.0
406,0,0.0
407,0,0.0
409,0,0.0
410,0,0.0
411,0,0.5
412,0,0.5
413,0,0.0
414,0,0.0
415,0,0.0
417,0,0.0
418,0,0.0
420,0,0.0
422,0,0.5
423,0,0.5
428,0,0.0
429,0,0.0
430,0,0.5
432,0,0.0
433,0,0.0
434,0,0.5
438,0,0.0
439,0,0.0
1,1,0.0
2,1,0.5
5,1,0.5
8,1,0.5
10,1,0.5
13,1,0.0
14,1,0.5
16,1,0.0
17,1,0.0
18,1,0.0
19,1,0.0
26,1,0.0
